Country Name,Continent,Regions,Capital,Country2,Overseas Territory,,
Cayman Islands (the),The Americas,Caribbean,George Town,Cayman Islands (UK),UK,,
Central African Republic (the),Africa,Central Africa (Middle Africa or Equatorial Africa),Bangui,Central African Republic,,,
Chad,Africa,Central Africa (Middle Africa or Equatorial Africa),N'Djamena,Chad,,,
Chile,The Americas,South America,Santiago,Chile,,,
China,Asia,East Asia or Eastern Asia ,Beijing,China,,,
Hong Kong,Asia,East Asia or Eastern Asia ,Hong Kong,"China, Hong Kong SAR",,,
Macao,Asia,East Asia or Eastern Asia ,Macao City,"China, Macao SAR",,,
Colombia,The Americas,South America,Bogotá D.C.,Colombia,,,
Comoros (the),Africa,East Africa,Moroni,Comoros,,,
Congo (the Democratic Republic of the),Africa,Central Africa (Middle Africa or Equatorial Africa),Kinshasa,"Congo, Dem. Rep. (Kinshasa)",,,
Congo (the),Africa,Central Africa (Middle Africa or Equatorial Africa),Brazzaville,"Congo, Rep. (Brazzaville)",,,
Cook Islands (the),Australia / Oceania,Polynesia,Avarua,Cook Islands,,,
Costa Rica,The Americas,Central America,San José,Costa Rica,,,
Côte d'Ivoire,Africa,West Africa,"Yamoussoukro, Abidjan",Côte d'Ivoire (Ivory Coast),,,
Croatia,Europe,Southern Europe or Mediterranean Europe ,Zagreb,Croatia (Hrvatska),,,
Cuba,The Americas,Caribbean,Havana,Cuba,,,
Curaçao,The Americas,Caribbean,Willemstad,Curaçao (NL),NL,,
Cyprus,Europe,Southern Europe or Mediterranean Europe ,Nicosia (Lefkosia),Cyprus,,,
Czechia,Europe,Eastern Europe,Prague,Czech Republic,,,
Denmark,Europe,Northern Europe,Copenhagen,Denmark,,,
Djibouti,Africa,East Africa,Djibouti,Djibouti,,,
Dominica,The Americas,Caribbean,Roseau,Dominica,,,
Dominican Republic (the),The Americas,Caribbean,Santo Domingo,Dominican Republic,,,
Easter Island (Chile),Australia / Oceania,Polynesia,Hanga Roa,Easter Island (Chile),,,
Ecuador,The Americas,South America,Quito,Ecuador,,,
Egypt,Africa,North Africa or Northern Africa,Cairo,Egypt,,,
El Salvador,The Americas,Central America,San Salvador,El Salvador,,,
Equatorial Guinea,Africa,Central Africa (Middle Africa or Equatorial Africa),Malabo,Equatorial Guinea,,,
Eritrea,Africa,East Africa,Asmara,Eritrea,,,
Estonia,Europe,Northern Europe,Tallinn,Estonia,,,
Ethiopia,Africa,East Africa,Addis Ababa,Ethiopia,,,
Faroe Islands (the),Europe,Northern Europe,Tórshavn,Faroe Islands (DK),DK,,
Fiji,Australia / Oceania,Melanesia,Suva,Fiji,,,
Finland,Europe,Northern Europe,Helsinki,Finland,,,
France,Europe,Western Europe ,Paris,France,,,
French Guiana,The Americas,South America,Cayenne,French Guiana (FR),FR,,
French Polynesia,Australia / Oceania,Polynesia,Papeete,French Polynesia (Tahiti),,,
Gabon,Africa,Central Africa (Middle Africa or Equatorial Africa),Libreville,Gabon,,,
Gambia (the),Africa,West Africa,Banjul,"Gambia, The",,,
Georgia,Asia,Western Asia,T'bilisi,Georgia,,,
Germany,Europe,Western Europe ,Berlin,Germany,,,
Ghana,Africa,West Africa,Accra,Ghana,,,
Gibraltar,Europe,Southern Europe or Mediterranean Europe ,Gibraltar,Gibraltar (UK),UK,,
Greece,Europe,Southern Europe or Mediterranean Europe ,Athens,Greece,,,
Greenland,Europe,Northern Europe,Nuuk (Godthab),Greenland (DK),DK,,
Grenada,The Americas,Caribbean,Saint George's,Grenada,,,
Guadeloupe,The Americas,Caribbean,Basse-Terre,Guadeloupe (FR),FR,,
Guam,Australia / Oceania,Micronesia,Hagåtña,Guam,,,
Guatemala,The Americas,Central America,Guatemala (City),Guatemala,,,
Guinea,Africa,West Africa,Conakry,Guinea,,,
Guinea-Bissau,Africa,West Africa,Bissau,Guinea-Bissau,,,
Guyana,The Americas,South America,Georgetown,Guyana,,,
Haiti,The Americas,Caribbean,Port-au-Prince,Haiti,,,
Hawaii,Australia / Oceania,Polynesia,Honolulu,Hawaii,,,
Honduras,The Americas,Central America,Tegucigalpa,Honduras,,,
Hungary,Europe,Eastern Europe,Budapest,Hungary,,,
Iceland,Europe,Northern Europe,Reykjavik,Iceland,,,
India,Asia,South Asia or Southern Asia,New Delhi,India,,,
Indonesia,Asia,Southeast Asia,Jakarta,Indonesia,,,
Iran (Islamic Republic of),Asia,Western Asia,Tehran,Iran,,,
Iraq,Asia,Western Asia,Baghdad,Iraq,,,
Ireland,Europe,Northern Europe,Dublin (City),Ireland,,,
Israel,Asia,Western Asia,Jerusalem,Israel,,,
Italy,Europe,Southern Europe or Mediterranean Europe ,Rome - Milan,Italy,,,
Jamaica,The Americas,Caribbean,Kingston,Jamaica,,,
Japan,Asia,East Asia or Eastern Asia ,Tokyo,Japan,,,
Jordan,Asia,Western Asia,Amman,Jordan,,,
Kazakhstan,Asia,Central Asia,Nur-Sultan,Kazakhstan,,,
Kenya,Africa,East Africa,Nairobi,Kenya,,,
Kiribati,Australia / Oceania,Micronesia,Tarawa,Kiribati,,,
Korea (the Democratic People's Republic of),Asia,East Asia or Eastern Asia ,Pyongyang,Korea (North),,,
Korea (the Republic of),Asia,East Asia or Eastern Asia ,Seoul,Korea (South),,,
Kosovo,Europe,Southern Europe or Mediterranean Europe ,Pristina,Kosovo,,,
Kuwait,Asia,Western Asia,Kuwait,Kuwait,,,
Kyrgyzstan,Asia,Central Asia,Bishkek,Kyrgyzstan,,,
Lao People's Democratic Republic (the),Asia,Southeast Asia,Vientiane,Lao PDR,,,
Latvia,Europe,Northern Europe,Riga,Latvia,,,
Lebanon,Asia,Western Asia,Beirut,Lebanon,,,
Lesotho,Africa,Southern Africa,Maseru,Lesotho,,,
Liberia,Africa,West Africa,Monrovia,Liberia,,,
Libya,Africa,North Africa or Northern Africa,Tripoli,Libya,,,
Liechtenstein,Europe,Western Europe ,Vaduz,Liechtenstein,,,
Lithuania,Europe,Northern Europe,Vilnius,Lithuania,,,
Luxembourg,Europe,Western Europe ,Luxembourg,Luxembourg,,,
Madagascar,Africa,East Africa,Antananarivo,Madagascar,,,
Malawi,Africa,East Africa,Lilongwe,Malawi,,,
Malaysia,Asia,Southeast Asia,Kuala Lumpur,Malaysia,,,
Maldives,Asia,South Asia or Southern Asia,Male,Maldives,,,
Mali,Africa,West Africa,Bamako,Mali,,,
Malta,Europe,Southern Europe or Mediterranean Europe ,Valletta,Malta,,,
Marshall Islands (the),Australia / Oceania,Micronesia,Majuro,Marshall Islands,,,
Martinique,The Americas,Caribbean,Fort-de-France,Martinique (FR),FR,,
Mauritania,Africa,West Africa,Nouakchott,Mauritania,,,
Mauritius,Africa,East Africa,Port Louis,Mauritius,,,
Mexico,The Americas,North America,Mexico (City),Mexico,,,
Micronesia (Federated States of),Australia / Oceania,Micronesia,Palikir,Micronesia (Federated States of),,,
Moldova (the Republic of),Europe,Eastern Europe,Chisinau,Moldova,,,
Monaco,Europe,Southern Europe or Mediterranean Europe ,Monaco,Monaco,,,
Mongolia,Asia,East Asia or Eastern Asia ,Ulaanbaatar,Mongolia,,,
Montenegro,Europe,Southern Europe or Mediterranean Europe ,Podgorica,Montenegro,,,
Montserrat,The Americas,Caribbean,Plymouth,Montserrat (UK),UK,,
Morocco,Africa,North Africa or Northern Africa,Rabat,Morocco,,,
Mozambique,Africa,East Africa,Maputo,Mozambique,,,
Myanmar,Asia,Southeast Asia,"Naypyidaw,",Myanmar,,,
Namibia,Africa,Southern Africa,Windhoek,Namibia,,,
Nauru,Australia / Oceania,Micronesia,---,Nauru,,,
Nepal,Asia,South Asia or Southern Asia,Kathmandu,Nepal,,,
Netherlands (the),Europe,Western Europe ,"The Hague, Amsterdam",Netherlands,,,
New Caledonia,Australia / Oceania,Melanesia,Nouméa,New Caledonia,,,
New Zealand,Australia / Oceania,Australasia,Wellington,New Zealand,,,
Nicaragua,The Americas,Central America,Managua,Nicaragua,,,
Niger (the),Africa,West Africa,Niamey,Niger,,,
Nigeria,Africa,West Africa,Abuja,Nigeria,,,
Niue,Australia / Oceania,Polynesia,Alofi,Niue,,,
North Macedonia,Europe,Southern Europe or Mediterranean Europe ,Skopje,"North Macedonia, Rep. of",,,
Northern Ireland (UK),Europe,Northern Europe,Belfast,Northern Ireland (UK),UK,,
Northern Mariana Islands (the),Australia / Oceania,Micronesia,Saipan,Northern Mariana Islands,,,
Norway,Europe,Northern Europe,Oslo,Norway,,,
Oman,Asia,Western Asia,Muscat,Oman,,,
Pakistan,Asia,South Asia or Southern Asia,Islamabad,Pakistan,,,
Palau,Australia / Oceania,Micronesia,"Ngerulmud, Melekeok",Palau,,,
Panama,The Americas,Central America,Panama (City),Panama,,,
Papua New Guinea,Australia / Oceania,Melanesia,Port Moresby,Papua New Guinea,,,
Paraguay,The Americas,South America,Asunción,Paraguay,,,
Peru,The Americas,South America,Lima,Peru,,,
Philippines (the),Asia,Southeast Asia,Manila,Philippines,,,
Pitcairn,Australia / Oceania,Polynesia,Adamstown,Pitcairn,,,
Poland,Europe,Eastern Europe,Warsaw,Poland,,,
Portugal,Europe,Southern Europe or Mediterranean Europe ,Lisbon,Portugal,,,
Puerto Rico,The Americas,Caribbean,San Juan,Puerto Rico (USA),USA,,
Qatar,Asia,Western Asia,Doha,Qatar,,,
Réunion,Africa,East Africa,Saint Denis,Réunion (France),France,,
Romania,Europe,Eastern Europe,Bucharest,Romania,,,
Russia,Asia,North Asia or Northern Asia ,Moscow,Russia,,,
Russian Federation (the),Europe,Eastern Europe,Moscow,Russian Federation,,,
Rwanda,Africa,East Africa,Kigali,Rwanda,,,
"Saint Helena, Ascension and Tristan da Cunha",Africa,West Africa,Jamestown,Saint Helena (UK),UK,,
Saint Kitts and Nevis,The Americas,Caribbean,Basseterre,Saint Kitts and Nevis,,,
Saint Lucia,The Americas,Caribbean,Castries,Saint Lucia,,,
Saint Vincent and the Grenadines,The Americas,Caribbean,Kingstown,Saint Vincent and the Grenadines,,,
Samoa,Australia / Oceania,Polynesia,Apia,Samoa,,,
San Marino,Europe,Southern Europe or Mediterranean Europe ,San Marino,San Marino,,,
Sao Tome and Principe,Africa,Central Africa (Middle Africa or Equatorial Africa),São Tomé,São Tomé & Príncipe,,,
Saudi Arabia,Asia,Western Asia,Riyadh,Saudi Arabia,,,
Scotland (UK),Europe,Northern Europe,Edinburgh / Glasgow,Scotland (UK),UK,,
Senegal,Africa,West Africa,Dakar,Senegal,,,
Serbia,Europe,Southern Europe or Mediterranean Europe ,Belgrade,Serbia,,,
Seychelles,Africa,East Africa,Victoria,Seychelles,,,
Sierra Leone,Africa,West Africa,Freetown,Sierra Leone,,,
Singapore,Asia,Southeast Asia,Singapore,Singapore,,,
Slovakia,Europe,Eastern Europe,Bratislava,Slovakia,,,
Slovenia,Europe,Southern Europe or Mediterranean Europe ,Ljubljana,Slovenia,,,
Solomon Islands,Australia / Oceania,Melanesia,Honiara,Solomon Islands,,,
Somalia,Africa,East Africa,Mogadishu,Somalia and Somaliland,,,
South Africa,Africa,Southern Africa,"Pretoria, Bloemfontein, Cape Town",South Africa,,,
South Sudan,Africa,East Africa,see: Sudan Map,South Sudan,,,
Spain,Europe,Southern Europe or Mediterranean Europe ,Madrid,Spain,,,
Sri Lanka,Asia,South Asia or Southern Asia,Colombo,Sri Lanka,,,
"Palestine, State of",Asia,Western Asia,Jerusalem,State of Palestine,,,
Sudan (the),Africa,North Africa or Northern Africa,Khartoum,Sudan,,,
Suriname,The Americas,South America,Paramaribo,Suriname,,,
Swaziland,Africa,Southern Africa,"Mbabane, Lobamba",Swaziland,,,
Sweden,Europe,Northern Europe,Stockholm,Sweden,,,
Switzerland,Europe,Western Europe ,Bern - Zürich,Switzerland,,,
Syrian Arab Republic (the),Asia,Western Asia,Damascus,Syria,,,
Taiwan (Province of China),Asia,East Asia or Eastern Asia ,Taipei,Taiwan,,,
Tajikistan,Asia,Central Asia,Dushanbe,Tajikistan,,,
"Tanzania, the United Republic of",Africa,East Africa,"Dodoma, Dar es Salaam",Tanzania,,,
Thailand,Asia,Southeast Asia,Bangkok,Thailand,,,
Timor-Leste,Asia,Southeast Asia,Dili,Timor-Leste,,,
Togo,Africa,West Africa,Lomé,Togo,,,
Tonga,Australia / Oceania,Polynesia,Nuku'alofa,Tonga,,,
Trinidad and Tobago,The Americas,Caribbean,Port-of-Spain,Trinidad and Tobago,,,
Tunisia,Africa,North Africa or Northern Africa,Tunis,Tunisia,,,
Turkey,Asia,Western Asia,Ankara,Turkey,,,
Turkey (East Thrace),Europe,Southern Europe or Mediterranean Europe ,Ankara - Istanbul,Turkey (East Thrace),,,
Turkmenistan,Asia,Central Asia,Ashgabat,Turkmenistan,,,
Tuvalu,Australia / Oceania,Polynesia,Funafuti,Tuvalu,,,
Uganda,Africa,East Africa,Kampala,Uganda,,,
Ukraine,Europe,Eastern Europe,Kiev,Ukraine,,,
United Arab Emirates (the),Asia,Western Asia,Abu Dhabi,United Arab Emirates,,,
United Kingdom of Great Britain and Northern Ireland (the),Europe,Northern Europe,"London / Birmingham, Manchester",United Kingdom,,,
Uruguay,The Americas,South America,Montevideo,Uruguay,,,
Virgin Islands (U.S.),The Americas,Caribbean,Charlotte Amalie,US Virgin Islands (USA),USA,,
United States of America (the),The Americas,North America,Washington - New York,USA,,,
Uzbekistan,Asia,Central Asia,Tashkent,Uzbekistan,,,
Vanuatu,Australia / Oceania,Melanesia,Port-Vila,Vanuatu,,,
Vatican City State,Europe,Southern Europe or Mediterranean Europe ,Vatican City,Vatican City State,,,
Venezuela (Bolivarian Republic of),The Americas,South America,Caracas,Venezuela,,,
Viet Nam,Asia,Southeast Asia,Hanoi,Vietnam,,,
Wales (UK),Europe,Northern Europe,Cardiff,Wales (UK),UK,,
Western Sahara,Africa,North Africa or Northern Africa,(El Aaiún),Western Sahara,,,
Yemen,Asia,Western Asia,Sanaa,Yemen,,,
Zambia,Africa,East Africa,Lusaka,Zambia,,,
Zimbabwe,Africa,East Africa,Harare,Zimbabwe,,,
Turks and Caicos Islands (the),The Americas,Caribbean,,,,,
Åland Islands,Europe,Northern Europe,,,,,
Wallis and Futuna,Australia / Oceania,Polynesia,,,,,
Tokelau,Australia / Oceania,Polynesia,,,,,
Svalbard and Jan Mayen,Europe,Northern Europe,,,,,
South Georgia and the South Sandwich Islands,The Americas,South America,,,,,
Sint Maarten (Dutch part),The Americas,Caribbean,,,,,
Saint Martin (French part),The Americas,Caribbean,,,,,
Saint Pierre and Miquelon,The Americas,North America,,,,,
Saint Barthélemy,The Americas,Caribbean,,,,,
Norfolk Island,Australia / Oceania,Australasia,,,,,
Mayotte,Africa,East Africa,,,,,
Jersey,Europe,Northern Europe,,,,,
Isle of Man,Europe,Northern Europe,,,,,
Holy See (the),Europe,Southern Europe or Mediterranean Europe ,,,,,
Guernsey,Europe,Northern Europe,,,,,
French Southern Territories (the),Antartica,Antartica,,,,,
Heard Island and McDonald Islands,Antartica,Antartica,,,,,
Falkland Islands (the) [Malvinas],The Americas,South America,,,,,
Eswatini,Africa,Southern Africa,,,,,
Cocos (Keeling) Islands (the),Australia / Oceania,Australasia,,,,,
Christmas Island,Australia / Oceania,Australasia,,,,,
British Indian Ocean Territory (the),Asia,South Asia or Southern Asia,,,,,
Bouvet Island,Antartica,Antartica,,,,,
"Bonaire, Sint Eustatius and Saba",The Americas,South America,,,,,
Antarctica,Antartica,Antartica,,,,,
United States Minor Outlying Islands (the),Australia / Oceania,Micronesia,,,,,
,,,,,,,
